#Type	Kind	Base	Namespace	Path	Gate	Summary
FrequencyTimer	class	Timer	SombraStudios.Shared.Utility.Timers.Core	Utility/Timers/Core/FrequencyTimer.cs	-	Timer that ticks at a specific frequency
FuncCondition	class	ICondition	SombraStudios.Shared.Patterns.Behavioural.FiniteStateMachine	Patterns/Behavioural/FiniteStateMachine/FuncCondition.cs	-	Condition backed by a function delegate
FuncExample	class	MonoBehaviour	SombraStudios.Shared.Examples.Delegates	Examples/Delegates/FuncExample.cs	-	Func is a return parameter Delegate
GameObjectDestroyer	class	MonoBehaviour	SombraStudios.Shared.Utility.Destroyer	Utility/Destroyer/GameObjectDestroyer.cs	-	Destroys on Awake the GameObject this script is attached to depending on platform scripting symbols like UNITY_EDITOR, UNITY_STANDALONE,...
GameObjectEventChannelListener	class	GenericEventChannelListener	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Implementations/GameObjectEventChannelListener.cs	-	A listener class for GameObject event channels
GameObjectEventChannelListListener	class	GenericEventChannelListListener	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Implementations/GameObjectEventChannelListListener.cs	-	A listener class for GameObject event channels
GameObjectEventChannelSO	class	GenericEventChannelSO	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/EventChannels/GameObjectEventChannelSO.cs	-	ScriptableObject event channel for events with a GameObject parameter
GameObjectEventChannelSOEditor	class	GenericEventChannelSOEditor	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects.Editor	Patterns/Behavioural/Observer/ScriptableObjects/Editor/GameObjectEventChannelSOEditor.cs	-	This event channel broadcasts and carries GameObject payload
GameObjectExtensions	class	-	SombraStudios.Shared.Extensions	Extensions/GameObjectExtensions.cs	-	Extension methods for GameObject
GameObjectRuntimeSetSO	class	RuntimeSetSO	SombraStudios.Shared.ScriptableObjects.RuntimeSets	ScriptableObjects/RuntimeSets/Implementations/GameObjectRuntimeSetSO.cs	-	This is an example Runtime Set used for tracking one or more GameObjects or components at runtime
GameObjectRuntimeSetSOEditor	class	Editor	SombraStudios.Shared.ScriptableObjects.RuntimeSets.Editor	ScriptableObjects/RuntimeSets/Editor/GameObjectRuntimeSetSOEditor.cs	-	This class overrides the default Editor behavior to show the elements of the runtime set
GameobjectWithTagOrLayerComponentSearchWindow	class	ComponentSearchWindow	SombraStudios.Shared.Tools.Search.AssetOrComponent	Tools/Search/AssetOrComponent/GameobjectWithTagOrLayerComponentSearchWindow.cs	-	Custom Editor window to search for GameObjects with a specific tag or layer
GameStateEvent<T>	class	GameStateListener	SombraStudios.Shared.Systems.GameState	Systems/GameState/GameStateEvent.cs	-	Base class for handling game state events
